Frage	Frage-Text	Variablenname	Items	Itemlabels	Werte	Wertelabels
"f12a"	"Wie aufmerksam verfolgen Sie Berichte über den Konflikt zwischen Israel und der Hamas?"	"Verfolgt Konflikt zwischen Israel / Hamas"		""	1.0	"sehr"
""	""	""		""	2.0	"eher"
""	""	""		""	3.0	"wenig"
""	""	""		""	4.0	"gar nicht"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f12b"	"Was ist die Hamas Ihrer Meinung nach am ehesten?"	"Was ist die Hamas"		""	1.0	"Eine demokratisch legitimierte Vertretung der Bevölkerung im Gazastreifen"
""	""	""		""	2.0	"Eine islamistische Terrororganisation"
""	""	""		""	3.0	"sonstiges"
""	""	""		""	4.0	"[weiß nicht / keine Angabe]"
"f13"	"Stimmen Sie folgenden Aussagen voll und ganz, eher schon, eher nicht oder überhaupt nicht zu?"	"Zustimmung Aussagen:"	1.0	"Der Überfall der Hamas auf Israel war ein verabscheuungswürdiger Terrorakt."	1.0	"voll und ganz"
""	""	""	2.0	"Die Hamas und ihre Unterstützer führen einen Krieg gegen Demokratie und freie Gesellschaften des Westens."	2.0	"eher schon"
""	""	""	3.0	"Die militärische Reaktion Israels auf den Angriff ist aus meiner Sicht gerechtfertigt."	3.0	"eher nicht"
""	""	""	4.0	"Der Angriff der Hamas auf Israel ist Teil eines berechtigten Befreiungskampfes der Palästinenser."	4.0	"überhaupt nicht"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f14"	"Wer trägt Ihrer Meinung nach mehr Schuld am Leid der palästinensischen Zivilbevölkerung, die Hamas oder Israel?"	"Schuld am Leid der palästinensischen Bevölkerung"		""	1.0	"eindeutig die Hamas"
""	""	""		""	2.0	"eher die Hamas"
""	""	""		""	3.0	"eher Israel"
""	""	""		""	4.0	"eindeutig Israel"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f15"	"Vielleicht haben Sie schon einmal von dem Begriff 'Antisemitismus' gehört. Antisemitismus beschreibt feindselige, diskriminierende oder gewalttätige Einstellungen und Handlungen gegenüber Juden oder als 'jüdisch' wahrgenommenen Personen. Sind Sie der Meinung, dass Antisemitismus in Österreich ein Problem ist oder nicht?"	"Antisemitismus:"		""	1.0	"Ein sehr ernstes Problem"
""	""	""		""	2.0	"Ein ziemlich ernstes Problem"
""	""	""		""	3.0	"Kein wirkliches Problem"
""	""	""		""	4.0	"Überhaupt kein Problem"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f16"	"Haben Sie schon mal erlebt, dass schlecht oder abfällig über Juden gesprochen wurde? Wenn ja, wo war das?"	"Schlecht über Juden gesprochen:"	1.0	"Im Familienkreis"	1.0	"Ja"
""	""	""	2.0	"Unter Freunden oder Bekannten"	2.0	"Nein"
""	""	""	3.0	"In Sportvereinen"		""
""	""	""	4.0	"In der Schule"		""
""	""	""	5.0	"Auf Festen oder Veranstaltungen"		""
""	""	""	6.0	"Auf Demonstrationen"		""
""	""	""	7.0	"In traditionellen Medien, wie Zeitung oder Fernsehen"		""
""	""	""	8.0	"In sozialen Medien"		""
""	""	""	9.0	"In religiösen Einrichtungen"		""
""	""	""	10.0	"Im Betrieb, am Arbeitsplatz"		""
""	""	""	11.0	"sonstiges"		""
""	""	""	12.0	"Nein, nie"		""
"f17"	"Sie haben angegeben in der Arbeit eine solche Situation schon einmal erlebt zu haben. Was haben Sie da gemacht?"	"Schlecht über Juden gesprochen - Reaktion"		""	1.0	"Ich habe nichts gemacht"
""	""	""		""	2.0	"Ich habe mich nicht getraut etwas zu tun"
""	""	""		""	3.0	"Ich wusste nicht, was ich tun soll"
""	""	""		""	4.0	"Ich habe es jemand anderem gemeldet"
""	""	""		""	5.0	"Ich habe selbst eingegriffen"
""	""	""		""	6.0	"sonstiges"
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f18"	"Sie haben angegeben in der Schule eine solche Situation schon einmal erlebt zu haben. Was haben Sie da gemacht?"	"Schlecht über Juden gesprochen in der Schule - Reaktion"		""	1.0	"Ich habe nichts gemacht"
""	""	""		""	2.0	"Ich habe mich nicht getraut etwas zu tun"
""	""	""		""	3.0	"Ich wusste nicht, was ich tun soll"
""	""	""		""	4.0	"Ich habe es jemand anderem gemeldet"
""	""	""		""	5.0	"Ich habe selbst eingegriffen"
""	""	""		""	6.0	"sonstiges"
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f19"	"Sind Sie der Meinung, dass der Antisemitismus in Österreich in den letzten fünf Jahren zugenommen hat, gleich geblieben ist oder abgenommen hat?"	"Entwicklung Antisemitismus Österreich"		""	1.0	"Antisemitismus in Österreich hat zugenommen"
""	""	""		""	2.0	"Antisemitismus in Österreich ist gleich geblieben"
""	""	""		""	3.0	"Antisemitismus in Österreich hat abgenommen"
""	""	""		""	4.0	"[weiß nicht / keine Angabe]"
"f20"	"Finden Sie die folgenden Aussagen eindeutig, eher, eher nicht oder sicher nicht antisemitisch?"	"Aussagen antisemitisch:"	1.0	"Wenn es den Staat Israel nicht mehr gibt, dann herrscht Frieden im Nahen Osten."	1.0	"eindeutig antisemitisch"
""	""	""	2.0	"Die Israelis behandeln die Palästinenser im Grunde auch nicht anders, als die Deutschen im 2. Weltkrieg die Juden."	2.0	"eher antisemitisch"
""	""	""	3.0	"In den Berichten über Konzentrationslager und Judenverfolgung im 2. Weltkrieg wird vieles übertrieben dargestellt."	3.0	"eher nicht antisemitisch"
""	""	""		""	4.0	"sicher nicht antisemitisch"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f21"	"Haben Sie in Ihrer Schulzeit im Rahmen des Unterrichts..."	"Im Schulunterricht:"	1.0	"Über den Holocaust und die Verbrechen in der Nazi Zeit gesprochen"	1.0	"Ja"
""	""	""	2.0	"über Antisemitismus gesprochen"	0.0	"Nein"
""	""	""	3.0	"eine Gedenkstätte besucht, z.B. die Gedenkstätte des KZ Mauthausen"		""
""	""	""	4.0	"ein Gespräch mit ZeitzeugInnen geführt oder ein Video dazu gesehen"		""
""	""	""	5.0	"über das jüdische Leben heutzutage gesprochen"		""
""	""	""	6.0	"über den Nahostkonflikt gesprochen"		""
""	""	""	7.0	"etwas anderes zum Thema Antisemitismus und jüdisches Leben gemacht"		""
""	""	""	8.0	"nichts davon"		""
"f22"	"Und in welchen der folgenden Bereiche wird von Seiten der Politik in Österreich eindeutig zu viel, eher zu viel, gerade richtig, eher zu wenig oder eindeutig zu wenig gemacht?"	"Beurteilung politischer Eingriff in"	1.0	"Schutz von jüdischen Einrichtungen (z.B. Schulen, Synagogen)"	1.0	"eindeutig zu viel"
""	""	""	2.0	"Verhindern der Verbreitung antisemitischer Inhalte in sozialen Medien"	2.0	"eher zu viel"
""	""	""	3.0	"Gute Beziehungen zum Staat Israel"	3.0	"gerade richtig"
""	""	""	4.0	"Bildung zum Thema Antisemitismus"	4.0	"eher zu wenig"
""	""	""	5.0	"Bildung zum Thema Holocaust"	5.0	"eindeutig zu wenig"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f23"	"Wie viele Juden wurden in der Zeit während des Holocaust ermordet?"	"Anzahl ermordeter Juden"		""	1.0	"bis zu 25 000"
""	""	""		""	2.0	"bis zu 100 000"
""	""	""		""	3.0	"bis zu 1 Mio."
""	""	""		""	4.0	"bis zu 2 Mio."
""	""	""		""	5.0	"bis zu 6 Mio."
""	""	""		""	6.0	"bis zu 20 Mio."
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f24"	"Wissen Sie, wie das jüdische Fest zur Osterzeit heißt?"	"Name jüdisches Osterfest"		""	1.0	"Pessach"
""	""	""		""	2.0	"Channukka"
""	""	""		""	3.0	"Diwali"
""	""	""		""	4.0	"Bar Mizwa"
""	""	""		""	5.0	"Ashura"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f25"	"Wie groß ist die Fläche von Israel Ihrer Einschätzung nach? Etwa so groß wie...."	"Fläche Isreals"		""	1.0	"Vorarlberg"
""	""	""		""	2.0	"Niederösterreich"
""	""	""		""	3.0	"Österreich"
""	""	""		""	4.0	"Deutschland"
""	""	""		""	5.0	"China"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f26"	"Und wie sehr treffen die folgenden Aussagen, die man in der öffentlichen Debatte immer wieder hört, Ihrer Meinung nach zu? Voll und ganz, eher schon, eher nicht oder überhaupt nicht?"	"Zustimmung Aussagen:"	1.0	"Die US-Amerikaner sind daran Schuld, dass wir so viele Weltkonflikte haben"	1.0	"voll und ganz"
""	""	""	2.0	"Der Kapitalismus ist Hauptursache für Armut, Hunger, Umweltzerstörung und Krieg."	2.0	"eher schon"
""	""	""	3.0	"Die freie Marktwirtschaft ist die Grundvoraussetzung für die Freiheit des Einzelnen und die Demokratie."	3.0	"eher nicht"
""	""	""		""	4.0	"überhaupt nicht"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f27"	"Geschlecht"	"Geschlecht"		""	1.0	"männlich"
""	""	""		""	2.0	"weiblich"
"f28_kat"	"Wie alt sind Sie?"	"Alter"		""	17.0	"16 und 17 Jahre"
""	""	""		""	18.0	"18 Jahre"
""	""	""		""	19.0	"19 Jahre"
""	""	""		""	20.0	"20 Jahre"
""	""	""		""	21.0	"21 Jahre"
""	""	""		""	22.0	"22 Jahre"
""	""	""		""	23.0	"23 Jahre"
""	""	""		""	24.0	"24 Jahre"
""	""	""		""	25.0	"25 Jahre"
""	""	""		""	26.0	"26 Jahre"
""	""	""		""	27.0	"27 Jahre"
""	""	""		""	28.0	"28 Jahre"
""	""	""		""	29.0	"29 Jahre"
""	""	""		""	30.0	"30 Jahre"
""	""	""		""	31.0	"31 Jahre"
""	""	""		""	32.0	"32 Jahre"
""	""	""		""	33.0	"33 Jahre"
""	""	""		""	34.0	"34 Jahre"
""	""	""		""	35.0	"35 Jahre"
""	""	""		""	36.0	"36 Jahre"
""	""	""		""	37.0	"37 Jahre"
""	""	""		""	38.0	"38 Jahre"
""	""	""		""	39.0	"39 Jahre"
""	""	""		""	40.0	"40 Jahre"
""	""	""		""	41.0	"41 Jahre"
""	""	""		""	42.0	"42 Jahre"
""	""	""		""	43.0	"43 Jahre"
""	""	""		""	44.0	"44 Jahre"
""	""	""		""	45.0	"45 Jahre"
""	""	""		""	46.0	"46 Jahre"
""	""	""		""	47.0	"47 Jahre"
""	""	""		""	48.0	"48 Jahre"
""	""	""		""	49.0	"49 Jahre"
""	""	""		""	50.0	"50 Jahre"
""	""	""		""	51.0	"51 Jahre"
""	""	""		""	52.0	"52 Jahre"
""	""	""		""	53.0	"53 Jahre"
""	""	""		""	54.0	"54 Jahre"
""	""	""		""	55.0	"55 Jahre"
""	""	""		""	56.0	"56 Jahre"
""	""	""		""	57.0	"57 Jahre"
""	""	""		""	58.0	"58 Jahre"
""	""	""		""	59.0	"59 Jahre"
""	""	""		""	60.0	"60 Jahre"
""	""	""		""	61.0	"61 Jahre"
""	""	""		""	62.0	"62 Jahre"
""	""	""		""	63.0	"63 Jahre"
""	""	""		""	64.0	"64 Jahre"
""	""	""		""	65.0	"65 Jahre oder älter"
"f29"	"Welche höchste abgeschlossene Schulbildung haben Sie?"	"Schulbildung"		""	1.0	"Pflichtschule"
""	""	""		""	2.0	"Lehre"
""	""	""		""	3.0	"Fachschule ohne Matura"
""	""	""		""	4.0	"AHS-/BHS- Matura"
""	""	""		""	5.0	"Universität/Akademie/Fachhochschule"
""	""	""		""	6.0	"Anderes"
"f30"	"Sind Sie...?"	"Berufstätigkeit"		""	1.0	"berufstätig"
""	""	""		""	2.0	"arbeitslos"
""	""	""		""	3.0	"in Karenz"
""	""	""		""	4.0	"Lehrling"
""	""	""		""	5.0	"in Pension"
""	""	""		""	6.0	"in Ausbildung"
""	""	""		""	7.0	"zu Hause"
""	""	""		""	8.0	"sonstiges"
"f31"	"Besuchen Sie derzeit eine oder mehrere der folgenden Ausbildungen?"	"derzeitige Ausbildungen:"	1.0	"Berufsschule und Lehre"	1.0	"Ja"
""	""	""	4.0	"AHS-Oberstufe"	0.0	"Nein"
""	""	""	5.0	"Berufsbildende höhere Schule (HTL, HAK, HBLA, HLW, BAPäd)"		""
""	""	""	7.0	"Universität/Akademie/Fachhochschule"		""
""	""	""	8.0	"sonstiges"		""
""	""	""	9.0	"Nein, nichts davon"		""
"f32"	"Sind Sie...?"	"Tätigkeit"		""	1.0	"Arbeiter/in"
""	""	""		""	2.0	"Angestellte/r"
""	""	""		""	3.0	"im öffentlichen Dienst"
""	""	""		""	4.0	"selbständig, freiberuflich, Ein-Personenunternehmen"
""	""	""		""	5.0	"in der Landwirtschaft"
""	""	""		""	6.0	"sonstiges"
"f33"	"In welcher Branche sind Sie tätig?"	"Branche"		""	1.0	"Land- und Forstwirtschaft, Bergbau"
""	""	""		""	2.0	"Eisen, Metall, Herstellung von Waren, Sachgütererzeugung"
""	""	""		""	3.0	"Energie-, Wasserversorgung, Abfallwirtschaft etc."
""	""	""		""	4.0	"Bauwesen"
""	""	""		""	5.0	"Handel"
""	""	""		""	6.0	"Verkehr, Post, Bahn"
""	""	""		""	7.0	"Tourismus, Gastgewerbe"
""	""	""		""	8.0	"IT, Information, Kommunikation"
""	""	""		""	9.0	"Geld, Kredit- und Versicherungswesen, Banken"
""	""	""		""	10.0	"Erziehung und Unterricht, Universitäten"
""	""	""		""	11.0	"Gesundheit, Pflege, Soziales"
""	""	""		""	12.0	"sonstiges"
""	""	""		""	13.0	"[weiß nicht / keine Angabe]"
"f34"	"Am 29. September fanden die Nationalratswahlen statt. Was trifft auf Sie zu?"	"Teilnahme Nationalratswahlen"		""	1.0	"Ich war nicht wahlberechtigt bei der Nationalratswahl"
""	""	""		""	2.0	"Ich habe nicht an der Nationalratswahl teilgenommen"
""	""	""		""	3.0	"Ich gehe normalerweise schon wählen, diesmal aber nicht"
""	""	""		""	4.0	"Ich wollte an der Nationalratswahl teilnehmen, es ist mir aber etwas dazwischen gekommen"
""	""	""		""	5.0	"Ich habe an der Nationalratswahl teilgenommen"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"f35"	"Und welche politische Partei haben Sie bei der Nationalratswahl am 29. September gewählt?"	"Partei Nationalratswahlen"		""	1.0	"ÖVP"
""	""	""		""	2.0	"SPÖ"
""	""	""		""	3.0	"FPÖ"
""	""	""		""	4.0	"GRÜNE"
""	""	""		""	5.0	"NEOS"
""	""	""		""	6.0	"BIER"
""	""	""		""	7.0	"Liste KEINE"
""	""	""		""	8.0	"KPÖ (Plus)"
""	""	""		""	9.0	"Liste Petrovic"
""	""	""		""	10.0	"Andere"
""	""	""		""	11.0	"[ungültig]"
""	""	""		""	12.0	"[war nicht wählen]"
""	""	""		""	13.0	"[weiß nicht / keine Angabe]"
"f36"	"Gehören Sie einer Religionsgemeinschaft an?"	"Mitglied Religionsgemeinschaft "		""	1.0	"ja"
""	""	""		""	2.0	"nein"
""	""	""		""	3.0	"[weiß nicht / keine Angabe]"
"f37"	"Welcher Religionsgemeinschaft gehören Sie an?"	"Welche Religionsgemeinschaft"		""	1.0	"Römisch-Katholische Kirche"
""	""	""		""	2.0	"Evangelische Kirche"
""	""	""		""	3.0	"Islam/muslimisch"
""	""	""		""	4.0	"Christlich-Orthodoxe Kirche"
""	""	""		""	5.0	"Judentum/mosaisch"
""	""	""		""	6.0	"anderes"
""	""	""		""	7.0	"[weiß nicht / keine Angabe]"
"f38"	"Würden Sie von sich sagen, dass Sie überhaupt nicht religiös, nicht sehr religiös, eher religiös oder sehr religiös sind?"	"Religiösität"		""	1.0	"überhaupt nicht religiös"
""	""	""		""	2.0	"eher nicht religiös"
""	""	""		""	3.0	"eher religiös"
""	""	""		""	4.0	"sehr religiös"
""	""	""		""	5.0	"[weiß nicht / keine Angabe]"
"f39"	"Sind Sie..."	"Staatsbürgerschaft"		""	1.0	"österreichische:r Staatsbürger:in"
""	""	""		""	2.0	"Staatsbürger:in eines EU/EWR-Landes"
""	""	""		""	3.0	"Staatsbürger:in eines anderen Landes"
""	""	""		""	4.0	"[weiß nicht / keine Angabe]"
"f40"	"Sind Sie oder Ihre Eltern bzw. Großeltern in einem anderen Land als Österreich geboren?"	"Eltern / Großeltern im Ausland geboren"	1.0	"Ja, ich selbst bin nicht in Österreich geboren"	1.0	"Ja"
""	""	""	2.0	"Ja, beide Elternteile"	0.0	"Nein"
""	""	""	3.0	"Ja, ein oder beide Großelternpaar(e)"		""
""	""	""	4.0	"Nein"		""
""	""	""	5.0	"Keine Angabe"		""
"f43"	"Bundesland"	"Bundesland"		""	1.0	"Vorarlberg"
""	""	""		""	2.0	"Tirol"
""	""	""		""	3.0	"Salzburg"
""	""	""		""	4.0	"Oberösterreich"
""	""	""		""	5.0	"Kärnten"
""	""	""		""	6.0	"Steiermark"
""	""	""		""	7.0	"Burgenland"
""	""	""		""	8.0	"Niederösterreich"
""	""	""		""	9.0	"Wien"
"f45"	"Wie viele Einwohner hat die Gemeinde in der Sie wohnen?"	"Einwohner Gemeinde"		""	1.0	"Weniger als 2.000 Einwohner"
""	""	""		""	2.0	"2.000 bis weniger als 10.0000 Einwohner"
""	""	""		""	3.0	"10.000 bis weniger als 50.000 Einwohner"
""	""	""		""	4.0	"50.000 bis 500.000 Einwohner"
""	""	""		""	5.0	"Wien"
""	""	""		""	6.0	"[weiß nicht / keine Angabe]"
"weight"	"Gewichtungsvariable"	"Gewichtungsvariable"		""		""
